Author,Publication_Date,Study_Approach,Journal_Name,URL,Latitude,Longitude,Country
Janke,2001,Optical Remote Sensing,Geocarto International,https://doi.org/10.1080/10106040108542199,37.0902,-95.7129,USA
Angillieri,2009,Optical Remote Sensing,Quaternary International,https://doi.org/10.1016/j.quaint.2008.06.001,-38.4161,-63.6167,Argentina
Lilleøren & Etzelmüller,2011,Optical Remote Sensing,"Geografiska Annaler: Series A, Physical Geography",https://doi.org/10.1111/j.1468-0459.2011.00430.x,60.472,8.4689,Norway
Perucca & Angillieri,2011,Optical Remote Sensing,Environmental Earth Sciences,https://link.springer.com/article/10.1007/s12665-011-1030-z,-38.4161,-63.6167,Argentina
Kellerer-Pirklbauer et al,2012,Optical Remote Sensing,Austrian Journal of Earth Sciences,https://www.ajes.at/images/AJES/archive/Band%20105_2/kellerer_at_al_ajes_105_2.pdf,47.5162,14.5501,Austria
Krainer & Ribis,2012,Optical Remote Sensing,Austrian Journal of Earth Sciences,https://www.uibk.ac.at/projects/station-hintereis-opal-data/publications/pdf/krainer_ribis_ajes_105_2.pdf,47.5162,14.5501,Austria
Seppi et al,2012,Optical Remote Sensing,Geografia Fisica e Dinamica Quaternaria,https://www.gfdq.glaciologia.it/index.php/GFDQ/article/view/199,41.8719,12.5674,Italy
Scotti et al,2013,Optical Remote Sensing,Geomorphology,https://doi.org/10.1016/j.geomorph.2012.12.028,41.8719,12.5674,Italy
Falaschi et al,2014,Optical Remote Sensing,Permafrost and Periglacial Processes,https://doi.org/10.1002/ppp.1801,-38.4161,-63.6167,Argentina
Rangecroft et al,2014,Optical Remote Sensing,Permafrost and Periglacial Processes,https://doi.org/10.1002/ppp.1816,-16.2902,-63.5887,Bolivia
Falaschi et al,2015,Optical Remote Sensing,"Geografiska Annaler: Series A, Physical Geography",https://doi.org/10.1111/geoa.12113,-38.4161,-63.6167,Argentina
Ghadimi et al,2015,Optical Remote Sensing,Arabian Journal of Geosciences,https://link.springer.com/article/10.1007/s12517-015-1922-4,32.4279,53.688,Iran
Schmid et al,2015,Optical Remote Sensing,The Cryosphere,https://doi.org/10.5194/tc-9-2089-2015,28.3949,84.124,Nepal
Falaschi et al,2016,Optical Remote Sensing,Zeitschrift Fur Geomorphologie,https://doi.org/10.1127/zfg/2016/0319,-38.4161,-63.6167,Argentina
Angillieri,2017,Optical Remote Sensing,Journal of South American Earth Sciences,https://doi.org/10.1016/j.jsames.2016.12.002,-38.4161,-63.6167,Argentina
Onaca et al,2017,Optical Remote Sensing,Geomorphology,https://doi.org/10.1016/j.geomorph.2016.03.032,45.9432,24.9668,Romania
Uxa & Mida,2017,Optical Remote Sensing,Journal of Maps,https://doi.org/10.1080/17445647.2017.1378136,48.669,19.699,Slovakia
Charbonneau & Smith,2018,Optical Remote Sensing,"Arctic, Antarctic, and Alpine Research",https://doi.org/10.1080/15230430.2018.1489026,56.1304,-106.3468,Canada
Jones et al,2018,Optical Remote Sensing,Global and Planetary Change,https://doi.org/10.1016/j.gloplacha.2017.11.005,28.3949,84.124,Nepal
Ran & Liu,2018,Optical Remote Sensing,The Cryosphere,https://doi.org/10.5194/tc-12-2327-2018,35.8617,104.1954,China
Blöthe et al,2019,Optical Remote Sensing,Earth Surface Processes and Landforms,https://doi.org/10.1002/esp.4532,41.2044,74.7661,Kyrgyzstan
Millar & Westfall,2019,Optical Remote Sensing,"Arctic, Antarctic, and Alpine Research",https://doi.org/10.1080/15230430.2019.1618666,37.0902,-95.7129,USA
Pandey,2019,Optical Remote Sensing,Geomorphology,https://doi.org/10.1016/j.geomorph.2019.05.001,20.5937,78.9629,India
Selley et al,2019,Optical Remote Sensing,"Geografiska Annaler: Series A, Physical Geography",https://doi.org/10.1080/04353676.2018.1525683,-35.6751,-71.543,Chile
Baral et al,2020,Optical Remote Sensing,Permafrost and Periglacial Processes,https://doi.org/10.1002/ppp.2008,20.5937,78.9629,India
Lytkin,2020,Optical Remote Sensing,Land,https://doi.org/10.3390/land9100384,61.524,105.3188,Russia
Magori et al,2020,Optical Remote Sensing,"Geografiska Annaler: Series A, Physical Geography",https://doi.org/10.1080/04353676.2020.1809905,41.6086,21.7453,North Macedonia
Forte et al,2021,Optical Remote Sensing,Geophysical Research Letters,http://hdl.handle.net/11336/183298,-38.4161,-63.6167,Argentina
Hassan et al,2021,Optical Remote Sensing,Science of The Total Environment,https://doi.org/10.1016/j.scitotenv.2021.146833,30.3753,69.3451,Pakistan
Johnson et al,2021,Optical Remote Sensing,Earth System Science Data,https://doi.org/10.5194/essd-13-3979-2021,37.0902,-95.7129,USA
Lillquist & Weidenaar,2021,Optical Remote Sensing,Geomorphology,https://doi.org/10.1016/j.geomorph.2021.107839,37.0902,-95.7129,USA
Chakravarti et al,2022,Optical Remote Sensing,"Geografiska Annaler: Series A, Physical Geography",https://doi.org/10.1080/04353676.2022.2120262,20.5937,78.9629,India
Majeed et al,2022,Optical Remote Sensing,Indian Journal of Geosciences,https://www.researchgate.net/profile/Zahid-Majeed-2/publication/360782509_Active_rock_glaciers_in_Jhelum_basin_Kashmir_Himalaya_India/links/62d053165572204601b9733a/Active-rock-glaciers-in-Jhelum-basin-Kashmir-Himalaya-India.pdf,20.5937,78.9629,India
Zhang et al,2022,Optical Remote Sensing,CATENA,https://doi.org/10.1016/j.catena.2022.106561,35.8617,104.1954,China
Tielidze et al,2023,Optical Remote Sensing,Geosciences,https://doi.org/10.3390/geosciences13040117,61.524,105.3188,Russia
Dash et al,2024,Optical Remote Sensing,Progress in Physical Geography: Earth and Environment,https://doi.org/10.1177/03091333241263986,20.5937,78.9629,India
Harrison et al,2024,Optical Remote Sensing,Global and Planetary Change,https://doi.org/10.1016/j.gloplacha.2024.104481,27.5142,90.4336,Bhutan
Li et al,2024,Optical Remote Sensing,The Cryosphere,https://doi.org/10.5194/tc-18-1-2024,35.8617,104.1954,China
Pandey et al,2024,Optical Remote Sensing,CATENA,https://doi.org/10.1016/j.catena.2024.107845,20.5937,78.9629,India
Remya et al,2024,Optical Remote Sensing,Earth and Space Science,https://doi.org/10.1029/2023EA003170,20.5937,78.9629,India
Kenyi & Kaufmann,2003,SAR Remote Sensing,IEEE Transactions on Geoscience and Remote Sensing,https://ieeexplore.ieee.org/abstract/document/1220260,47.5162,14.5501,Austria
Liu et al,2013,SAR Remote Sensing,The Cryosphere,https://doi.org/10.5194/tc-7-1109-2013,37.0902,-95.7129,USA
Necsoiu et al,2016,SAR Remote Sensing,Remote Sensing of Environment,https://doi.org/10.1016/j.rse.2016.02.025,45.9432,24.9668,Romania
Wang et al,2017,SAR Remote Sensing,The Cryosphere,https://doi.org/10.5194/tc-11-997-2017,35.8617,104.1954,China
Villarroel et al,2018,SAR Remote Sensing,Remote Sensing,https://doi.org/10.3390/rs10101588,-38.4161,-63.6167,Argentina
Strozzi et al,2020,SAR Remote Sensing,Remote Sensing,https://doi.org/10.3390/rs12030559,46.8182,8.2275,Switzerland
Brencher et al,2021,SAR Remote Sensing,The Cryosphere,https://doi.org/10.5194/tc-15-4823-2021,37.0902,-95.7129,USA
Cai et al,2021,SAR Remote Sensing,Remote Sensing,https://doi.org/10.3390/rs13234931,35.8617,104.1954,China
Kääb et al,2021,SAR Remote Sensing,The Cryosphere,https://doi.org/10.5194/tc-15-927-2021,35.8617,104.1954,China
Reinosch et al,2021,SAR Remote Sensing,Permafrost and Periglacial Processes,https://doi.org/10.1002/ppp.2117,35.8617,104.1954,China
Kaldybayev et al,2022,SAR Remote Sensing,Remote Sensing,https://doi.org/10.3390/rs15010197,48.0196,66.9237,Kazakhstan
Lambiel et al,2023,SAR Remote Sensing,"Arctic, Antarctic, and Alpine Research",https://doi.org/10.1080/15230430.2023.2183999,-40.9006,174.886,New Zealand
Bertone et al,2024,SAR Remote Sensing,The Cryosphere,https://doi.org/10.5194/tc-18-2335-2024,41.8719,12.5674,Italy
Ma & Oguchi,2024,SAR Remote Sensing,Remote Sensing,https://doi.org/10.3390/rs16071185,38.861,71.2761,Tajikistan
Brenning,2009,Artificial Intelligence,Remote Sensing of Environment,https://doi.org/10.1016/j.rse.2008.09.005,37.0902,-95.7129,USA
Brenning et al,2012,Artificial Intelligence,Remote Sensing of Environment,https://doi.org/10.1016/j.rse.2012.07.005,-35.6751,-71.543,Chile
Bertone et al,2019,Artificial Intelligence,Remote Sensing,https://doi.org/10.3390/rs11141711,41.8719,12.5674,Italy
Kofler et al,2020,Artificial Intelligence,Geomorphology,https://doi.org/10.1016/j.geomorph.2019.106887,41.8719,12.5674,Italy
Mercer,2020,Artificial Intelligence,Permafrost and Periglacial Processes,https://doi.org/10.1002/ppp.2076,41.8719,12.5674,Italy
Robson et al,2020,Artificial Intelligence,Remote Sensing of Environment,https://doi.org/10.1016/j.rse.2020.112033,-35.6751,-71.543,Chile
Erharter et al,2022,Artificial Intelligence,Applied Computing and Geosciences,https://doi.org/10.1016/j.acags.2022.100093,47.5162,14.5501,Austria
Hu et al,2023,Artificial Intelligence,Journal of Geophysical Research: Earth Surface,https://doi.org/10.1029/2023JF007206,35.8617,104.1954,China
Hu et al,2024,Artificial Intelligence,International Journal of Digital Earth,https://doi.org/10.1080/17538947.2024.2304077,35.8617,104.1954,China
Mahanta et al,2024,Artificial Intelligence,Permafrost and Periglacial Processes,https://doi.org/10.1002/ppp.2240,20.5937,78.9629,India
Sun et al,2024,Artificial Intelligence,Earth System Science Data,https://doi.org/10.5194/essd-2024-28,35.8617,104.1954,China
